代數,10000
粒子數,10
旋轉角度上界,0.000400000000000
旋轉角度下界,0.000400000000000
旋轉角度,0.000400000000000
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10707280.679999999701977
真實報酬,707280.679999999701977

預期報酬,37507.587177700326720
風險,208497.161933036986738
起點值,0.179894953149274
找到最佳解世代,9926
找到最佳解實驗#,1
找到最佳解次數,1

Number of chosen,3
IBM,PG,WBA
Stock#,IBM,PG,WBA
張數,1876,1305,381765
分配資金,3333333.333333333488554,3333333.333333333488554,3333333.333333333488554
剩餘資金,27.880000000004657,13.000000000000000,2.250000000000000
FS(1),163934.000000000000000,81967.000000000000000,9754098.000000000000000,10000000.000000000000000
FS(2),162902.199999999982538,81379.750000000000000,10246574.849999999627471,10490857.799999998882413
FS(3),167423.360000000015134,81144.850000000005821,10196945.400000000372529,10445514.610000001266599
FS(4),164721.920000000012806,79722.399999999994179,10319110.200000001117587,10563555.520000001415610
FS(5),163577.560000000026776,78848.049999999988358,10246574.849999999627471,10489001.459999999031425
FS(6),158925.080000000016298,78130.300000000002910,9983157.000000000000000,10220213.380000000819564
FS(7),160819.839999999996508,78234.699999999997090,9887715.750000000000000,10126771.289999999105930
FS(8),160125.720000000001164,77621.349999999991269,9952615.800000000745058,10190363.870000001043081
FS(9),156092.320000000006985,75520.300000000002910,9979339.349999999627471,10210952.969999998807907
FS(10),157837.000000000000000,74998.300000000002910,10269480.750000000000000,10502317.050000000745058
FS(11),159337.800000000017462,75350.649999999994179,10273298.400000000372529,10507987.849999999627471
FS(12),153822.360000000015134,74959.149999999994179,9902986.349999999627471,10131768.859999999403954
FS(13),171531.800000000017462,75141.850000000005821,10051874.699999999254942,10298549.349999999627471
FS(14),168999.199999999982538,74345.800000000002910,10231304.250000000000000,10474650.250000000000000
FS(15),167911.119999999995343,73093.000000000000000,10280933.699999999254942,10521938.819999998435378
FS(16),171869.479999999981374,73575.849999999991269,10231304.250000000000000,10476750.580000000074506
FS(17),171982.040000000008149,74006.500000000000000,10307657.250000000000000,10553646.789999999105930
FS(18),177910.199999999982538,75937.899999999994179,10647428.099999999627471,10901277.199999999254942
FS(19),173576.640000000013970,75990.099999999991269,10647428.099999999627471,10896995.839999999850988
FS(20),171963.280000000027940,71135.500000000000000,10464180.900000000372529,10707280.679999999701977
